"gene_id","gene_name"
"gene-LOC100684930|LOC100684930","LOC100684930"
"gene-MYB|MYB","MYB"
"gene-LOC111095371|LOC111095371","LOC111095371"
"gene-AHI1|AHI1","AHI1"
"gene-LOC102156675|LOC102156675","LOC102156675"
"gene-LOC119870735|LOC119870735","LOC119870735"
"gene-LOC119870734|LOC119870734","LOC119870734"
"gene-LOC102153001|LOC102153001","LOC102153001"
"gene-LOC102152959|LOC102152959","LOC102152959"
"gene-LOC102153582|LOC102153582","LOC102153582"
"gene-PDE7B|PDE7B","PDE7B"
"gene-LOC111095400|LOC111095400","LOC111095400"
"gene-MTFR2|MTFR2","MTFR2"
"gene-LOC106558619|LOC106558619","LOC106558619"
"gene-BCLAF1|BCLAF1","BCLAF1"
"gene-LOC106558576|LOC106558576","LOC106558576"
"gene-MAP7|MAP7","MAP7"
"gene-LOC102154283|LOC102154283","LOC102154283"
"gene-MAP3K5|MAP3K5","MAP3K5"
"gene-LOC102156750|LOC102156750","LOC102156750"
"gene-LOC119870737|LOC119870737","LOC119870737"
"gene-PEX7|PEX7","PEX7"
"gene-SLC35D3|SLC35D3","SLC35D3"
"gene-LOC100856045|LOC100856045","LOC100856045"
"gene-IL20RA|IL20RA","IL20RA"
"gene-LOC111090644|LOC111090644","LOC111090644"
"gene-LOC119870738|LOC119870738","LOC119870738"
"gene-IL22RA2|IL22RA2","IL22RA2"
"gene-LOC119869884|LOC119869884","LOC119869884"
"gene-LOC102155014|LOC102155014","LOC102155014"
"gene-IFNGR1|IFNGR1","IFNGR1"
"gene-LOC102155165|LOC102155165","LOC102155165"
"gene-LOC476217|LOC476217","LOC476217"
"gene-LOC111090647|LOC111090647","LOC111090647"
"gene-LOC100685599|LOC100685599","LOC100685599"
"gene-OLIG3|OLIG3","OLIG3"
"gene-LOC111090650|LOC111090650","LOC111090650"
"gene-LOC100685756|LOC100685756","LOC100685756"
"gene-LOC119870652|LOC119870652","LOC119870652"
"gene-TNFAIP3|TNFAIP3","TNFAIP3"
"gene-LOC111090653|LOC111090653","LOC111090653"
"gene-LOC119870653|LOC119870653","LOC119870653"
"gene-PERP|PERP","PERP"
"gene-ARFGEF3|ARFGEF3","ARFGEF3"
"gene-LOC102156831|LOC102156831","LOC102156831"
"gene-LOC111095455|LOC111095455","LOC111095455"
"gene-LOC111095460|LOC111095460","LOC111095460"
"gene-HEBP2|HEBP2","HEBP2"
"gene-NHSL1|NHSL1","NHSL1"
"gene-FAM133B|FAM133B","FAM133B"
"gene-CCDC28A|CCDC28A","CCDC28A"
"gene-LOC100856236|LOC100856236","LOC100856236"
"gene-ECT2L|ECT2L","ECT2L"
"gene-REPS1|REPS1","REPS1"
"gene-ABRACL|ABRACL","ABRACL"
"gene-HECA|HECA","HECA"
"gene-TXLNB|TXLNB","TXLNB"
"gene-CITED2|CITED2","CITED2"
"gene-LOC102156887|LOC102156887","LOC102156887"
"gene-LOC106558610|LOC106558610","LOC106558610"
"gene-LOC106558606|LOC106558606","LOC106558606"
"gene-LOC111095494|LOC111095494","LOC111095494"
"gene-LOC119870740|LOC119870740","LOC119870740"
"gene-LOC119870654|LOC119870654","LOC119870654"
"gene-LOC111090654|LOC111090654","LOC111090654"
"gene-LOC611622|LOC611622","LOC611622"
"gene-LOC106558957|LOC106558957","LOC106558957"
"gene-LOC106558612|LOC106558612","LOC106558612"
"gene-LOC102157010|LOC102157010","LOC102157010"
"gene-LOC100686429|LOC100686429","LOC100686429"
"gene-LOC102157053|LOC102157053","LOC102157053"
"gene-NMBR|NMBR","NMBR"
"gene-GJE1|GJE1","GJE1"
"gene-VTA1|VTA1","VTA1"
"gene-ADGRG6|ADGRG6","ADGRG6"
"gene-LOC100686509|LOC100686509","LOC100686509"
"gene-HIVEP2|HIVEP2","HIVEP2"
"gene-LOC100856282|LOC100856282","LOC100856282"
"gene-LOC111090656|LOC111090656","LOC111090656"
"gene-AIG1|AIG1","AIG1"
"gene-LOC111095529|LOC111095529","LOC111095529"
"gene-LOC111095530|LOC111095530","LOC111095530"
"gene-LOC111090660|LOC111090660","LOC111090660"
"gene-LOC611679|LOC611679","LOC611679"
"gene-ADAT2|ADAT2","ADAT2"
"gene-PEX3|PEX3","PEX3"
"gene-LOC111095543|LOC111095543","LOC111095543"
"gene-FUCA2|FUCA2","FUCA2"
"gene-LOC102151921|LOC102151921","LOC102151921"
"gene-LOC111095548|LOC111095548","LOC111095548"
"gene-PHACTR2|PHACTR2","PHACTR2"
"gene-LOC119870688|LOC119870688","LOC119870688"
"gene-LOC100856400|LOC100856400","LOC100856400"
"gene-LTV1|LTV1","LTV1"
"gene-ZC2HC1B|ZC2HC1B","ZC2HC1B"
"gene-LOC119875039|LOC119875039","LOC119875039"
"gene-PLAGL1|PLAGL1","PLAGL1"
"gene-SF3B5|SF3B5","SF3B5"
"gene-LOC100687865|LOC100687865","LOC100687865"
"gene-STX11|STX11","STX11"
